Key;KRADanzahl;KRADweibl;PKW;PKWproTausendEW;KFZinsgesamt;KFZproTausendEW
5562;33492;4802;359727;586;418175;681
5566;23245;3115;278271;621;336922;752
5570;14816;2001;174862;629;210836;759
5711;12313;1674;175126;524;200878;601
5754;18809;2333;232662;638;280594;769
5758;13345;1864;164092;655;193122;771
5762;8389;1025;90389;644;112607;803
5766;18802;2434;218800;630;258754;745
5770;15924;2059;204839;660;246874;795
5774;15274;1943;185254;602;222548;723
5911;16133;2251;207746;568;241833;661
5913;23457;3244;296263;504;339394;577
5914;8927;1249;99923;530;116365;617
5915;7371;943;98946;550;114370;636
5916;6631;1009;78636;503;90519;579
5954;21109;3174;200936;620;237257;732
5958;14431;1796;169076;651;205659;792
5962;22291;3193;255212;622;299109;729
5966;7890;938;90455;675;110226;823
5970;15396;2000;177699;642;213674;772
5974;16898;2259;192866;639;231060;766
5978;21791;3251;241904;613;281207;712
7111;4818;615;64463;565;75764;664
7131;9037;1222;86411;664;107693;828
7132;9265;1295;84964;660;105594;820
7133;10132;1380;101284;640;126846;801
7134;4977;628;52688;651;64389;795
7135;4889;628;41949;683;55779;909
7137;13707;1840;140240;654;170439;795
7138;11971;1684;121459;664;147758;808
7140;7333;933;71154;690;91499;887
7141;9028;1211;80891;661;100228;820
7143;14039;1907;138521;686;171818;851
7211;16890;2182;154688;593;192649;738
7231;7635;943;75722;673;99139;881
7232;7930;1022;67379;680;91680;926
7233;4987;647;41818;690;56234;927
7311;2199;276;27139;557;31649;649
7312;3671;458;49654;496;57127;571
7313;2410;343;27725;591;32980;703
7314;6903;833;84752;492;98713;573
7315;7467;990;100722;461;116849;535
7316;2869;365;33190;623;39621;744
7317;1757;213;23239;578;27159;675
7318;2756;422;29673;587;34664;686
7319;4026;492;46422;556;55148;660
7320;1909;297;21444;627;25477;745
7331;9448;1313;86837;670;109653;846
7332;9371;1296;91799;692;111182;838
7333;5591;777;50721;673;63281;840
7334;8721;1230;83803;650;102491;794
7335;7111;858;69284;654;84309;796
7336;5037;707;47794;681;59027;841
7337;8746;1174;77600;702;99877;904
7338;11153;1524;102758;665;123667;800
7339;14468;1985;142884;676;173583;821
7340;7906;1067;67704;714;84086;887
10041;18068;2489;192923;587;227361;692
10042;7138;983;72447;702;89024;862
10043;8350;1176;86937;662;102853;783
10044;12860;1610;134405;692;159620;821
10045;9202;1286;98575;693;117289;825
10046;7228;853;62145;714;76581;880
14511;8623;899;126455;513;147832;600
14521;21680;2068;203044;606;253932;758
14522;18119;1807;180287;593;226864;746
14523;12734;1446;137564;609;171992;761
14524;16959;1751;186444;592;228149;724
14612;16102;1798;231582;416;270403;486
14625;16399;1651;181835;607;226169;755
14626;13043;1332;144108;570;178113;705
14627;11813;1193;138940;575;172483;714
14628;13941;1462;144058;587;179394;730
14713;14785;1689;232677;392;268060;452
14729;14298;1606;154753;599;192133;744
14730;10817;1291;116784;591;147106;744
15001;2993;371;42195;527;49163;614
15002;5749;617;95490;400;109856;460
15003;6056;640;112204;472;129079;543
15081;4457;524;50986;613;65835;792
15082;7401;833;93266;588;113722;718
15083;9358;1031;106720;624;133403;780
15084;9289;1030;102470;573;127722;714
15085;10084;1164;123982;581;151083;708
15086;4869;583;54938;613;69252;773
15087;7530;797;80001;593;99578;738
15088;10461;1141;115240;627;142987;778
15089;8871;1048;105753;559;128268;678
15090;5212;634;63921;575;81129;730
15091;6861;773;75678;606;94542;757
1001;2854;381;45029;499;51392;570
1002;8270;1165;112203;455;131335;532
1003;8287;1152;101141;467;119306;551
1004;3398;460;43234;539;51442;641
1051;7998;1159;83189;625;106858;802
